id,Name
L10_01,Scissors
L10_02,Oil Lamp
L10_03,Magnifying Glass
L10_04,Beaker
L10_05,Scale
L10_06,Fire Hydrant
L10_07,First Aid
L10_08,Gas Mask
L10_09,Camera
L10_10,Brain
L10_11,Severed Leg
L10_12,Skull
L10_13,Screw Driver
L10_14,Switch
L10_17,Knife
L10_18,Handcuffs
L10_19,Wrench
L10_20,Thermometer
L10_21,Lock
L10_22,Clothes Pin
L10_23,Lighter
L10_24,Mace
L10_25,Tape
L10_26,Stethoscope
L10_27,Spider
L10_28,Gloves
L10_29,Pliers
L10_30,Gear
L10_31,Drill
L10_32,Goggles
