id,Name
L15_01,Sunglasses
L15_02,Coat
L15_03,Hanging Lights
L15_04,Ashtray
L15_05,Belt
L15_06,Camera
L15_07,Watch
L15_08,Projector
L15_09,Makeup Box
L15_10,Hat
L15_11,Laptop
L15_12,Speaker
L15_13,Smoking Pipe
L15_14,Towels
L15_15,Dart Board
L15_16,Juice
L15_17,Wine Bottle
L15_19,Trashcan
L15_20,Headphone
L15_21,Hot Dog
L15_22,Lighter
L15_23,Leaf
L15_24,Projector Screen
L15_25,Shoe
L15_26,Envelope
L15_27,Mask
L15_28,Broom
L15_29,Books
L15_30,Pineapple
L15_31,Stick It Note
L15_32,Luggage Bag
