id,Name
L10_01,Microscope
L10_03,Extension Plug
L10_05,Handcuffs
L10_06,Headphones
L10_07,No Smoking
L10_08,Shovel
L10_09,Severed Hand
L10_10,Basket
L10_11,Scissors
L10_12,Blood Vial
L10_13,Boots
L10_14,Police Tape
L10_15,Magnifying Glass
L10_16,Hammer
L10_17,Binoculars
L10_18,Clip
L10_19,Knife
L10_20,Key
L10_21,Garlic Press
L10_22,Dumbell
L10_23,Torch Light
L10_25,Rope
L10_26,Scale
L10_27,Rat
L10_28,Spider
L10_29,Skull
L10_30,Screw Driver
L10_31,Chain
L10_32,Lizard
L10_33,Spring
