id,Name
L01_01,Starfish
L01_03,Cuff
L01_04,Measuring Tape
L01_05,Platform Sandal
L01_06,Bow
L01_07,Key
L01_08,Thermometer
L01_09,Ring
L01_10,Socks
L01_11,G-Clef
L01_13,Mascara Wand
L01_14,Scissors
L01_15,Brush
L01_16,Hair Straightener
L01_17,Cuticle Nipper
L01_18,Die
L01_19,Pearl
L01_20,Lip Print
L01_21,Rose
L01_22,Butterfly
L01_23,Joker
L01_24,Necklace
L01_25,Glass
L01_26,Lip Stick
L01_27,Headband
L01_28,Eyelash Curler
L01_29,Scarves
L01_30,Make Up Brushes
L01_32,Belt
