id,Name
L09_01,Key
L09_02,Butterfiy
L09_03,Glasses
L09_04,Doll
L09_05,Gramophone
L09_06,Vase
L09_07,Cobra
L09_08,High-Heeled Shoes
L09_09,Suitcase
L09_10,Sneakers
L09_11,Scroll
L09_12,Mushrooms
L09_13,Clock
L09_14,Skull
L09_15,Crystal Ball
L09_17,Telephone
L09_18,Globe
L09_19,Tiara
L09_20,Column
L09_21,Card
L09_22,Spider
L09_23,Bat
L09_24,Helmet
L09_25,Bottles
L09_26,Hand Print
L09_27,Parrot
L09_28,Photo Frame
L09_29,Pumpkin
L09_30,Bow
L09_31,Starfish
L09_32,Pocket Watch
