id,Name
L06_02,Axe
L06_03,Eagle Statue
L06_04,Egg Shell
L06_05,Mouse
L06_06,Necklace
L06_07,Gnome
L06_08,Swords And Shield
L06_09,Bat Wing
L06_10,Fork
L06_11,Hand Saw
L06_12,Hourglass
L06_13,Fan Blades
L06_14,Crucifix
L06_15,Iron
L06_16,Broom
L06_17,Roach
L06_18,Handbag
L06_19,Scorpion
L06_20,Telephone
L06_21,Knife
L06_22,Carpenterworm
L06_23,Medal
L06_24,Lock
L06_25,Butterfly
L06_26,Ant
L06_27,Pulley
L06_28,High-heeled Shoe
L06_29,Umbrella
L06_30,Deer Head
L06_31,Magnifying Glass
L06_32,Rhinoceros
