id,Name
L05_01,Shoes
L05_02,Sun & Moon
L05_03,Weights
L05_04,Flute
L05_05,Violin
L05_06,Perfume Bottle
L05_08,Globe
L05_09,Arabian Lamp
L05_10,Gramophone
L05_11,Mask
L05_12,Humming Bird
L05_13,Matchbox
L05_14,Map
L05_15,Paper Bag
L05_16,Pigeon
L05_17,Rat
L05_18,Squirrel
L05_19,Toaster
L05_20,Statue
L05_21,Dessert Dish 
L05_22,Clothesline
L05_23,Snail
L05_24,Spider
L05_25,Toy Plane
L05_26,Goggles
L05_27,Gnome
L05_28,Wheelbarrow
L05_29,Lamp
L05_30,Vase
L05_31,Butterfly
L05_32,Hot Air Balloon
