id,Name
L02_01,Saw
L02_02,Baseball
L02_03,Lamp
L02_04,Water Can
L02_05,Cat
L02_06,Bell
L02_07,Hammer
L02_08,Torchlight
L02_09,Scales
L02_10,Light Bulb
L02_11,Surgical Knife
L02_12,Pliers
L02_13,Axe
L02_14,Skull
L02_15,Shovel
L02_16,Fire Extinguisher
L02_17,Rope
L02_18,Cockroach
L02_19,Lighter
L02_20,Hourglass
L02_21,Mask
L02_22,Rat
L02_23,Gloves
L02_24,Music Note
L02_25,Severed Hand
L02_26,Leaf
L02_27,Cross
L02_28,Bone
L02_29,Water Tap
L02_30,Gear
L02_31,Scissors
L02_32,Hand Print
