id,Name
L01_01,Flashlight
L01_02,Sun
L01_03,Pirate Flag
L01_04,Cannon
L01_05,Rope
L01_06,Triangle
L01_07,Sunglasses
L01_08,Spring
L01_09,Sapphire
L01_10,Eyeballs
L01_11,Gloves
L01_12,Rose
L01_13,Stethoscope
L01_14,Handbell
L01_16,Lip Print
L01_17,Binder Clip
L01_18,Necklace
L01_19,Medal
L01_20,Inkwell
L01_21,Gear
L01_22,Paper Crane
L01_23,Book
L01_24,Safety Pin
L01_25,Mask
L01_26,Wall Lamp
L01_27,CCTV
L01_28,Envelope
L01_29,Egyptian Mural
L01_30,Belt
L01_31,Pinecone
L01_32,Globe
L01_34,Candlestick
