id,Name
L15_01,Clock
L15_02,Stick Notes
L15_03,Surgical Knife
L15_04,Spider
L15_05,Bio-Hazard
L15_06,Screw Driver
L15_07,Gloves
L15_08,Fire Extinguisher
L15_09,Surgical Tray
L15_10,Handcuffs
L15_12,Newspaper
L15_13,Severed Hand
L15_14,Knife
L15_15,Bottle
L15_16,Skull
L15_18,Gas Mask
L15_19,Tweezers
L15_20,Scissors
L15_21,Beakers
L15_22,Skull Prints
L15_23,Magnifying Glass
L15_24,Torch Light
L15_25,Stethoscope
L15_26,Rat
L15_27,Goggles
L15_28,Thermometer
L15_31,Bat
L15_32,Camera
