id,Name
L10_01,Parachute
L10_02,Books
L10_03,Leash
L10_04,Clock
L10_05,Backpack
L10_06,High-heeled Shoe
L10_07,Basket
L10_08,Hoe
L10_09,Umbrella
L10_10,Table Lamp
L10_11,Chair
L10_12,Soccer Ball
L10_13,Drum
L10_14,Bowling Pins
L10_15,Police Alarm
L10_16,Candlestick
L10_17,Helmet
L10_18,Guitar
L10_19,Dartboard
L10_20,Street Lamp
L10_21,Television
L10_22,Helicopter
L10_23,Washing Machine
L10_24,Tripod
L10_25,Wrench
L10_26,Cowboy Hat
L10_27,First Aid Box
L10_28,Paper Roll
L10_30,Chain
L10_31,Boxes
