id,Name,,,,,,,,,,,,,,,,,,
L05_01,Anchor,,,,,,,,,,,,,,,,,,
L05_02,Football,,,,,,,,,,,,,,,,,,
L05_03,Coins,,,,,,,,,,,,,,,,,,
L05_05,Lip Print,,,,,,,,,,,,,,,,,,
L05_07,Rainbow,,,,,,,,,,,,,,,,,,
L05_08,Bat,,,,,,,,,,,,,,,,,,
L05_11,Chameleon,,,,,,,,,,,,,,,,,,
L05_12,Skull,,,,,,,,,,,,,,,,,,
L05_14,Badge,,,,,,,,,,,,,,,,,,
L05_15,Spider,,,,,,,,,,,,,,,,,,
L05_16,Axe,,,,,,,,,,,,,,,,,,
L05_17,Glasses,,,,,,,,,,,,,,,,,,
L05_18,Keys,,,,,,,,,,,,,,,,,,
L05_19,Mushrooms,,,,,,,,,,,,,,,,,,
L05_21,Crystal Ball,,,,,,,,,,,,,,,,,,
L05_22,Blueberries,,,,,,,,,,,,,,,,,,
L05_24,Dwarf,,,,,,,,,,,,,,,,,,
L05_25,Green Bottle,,,,,,,,,,,,,,,,,,
L05_27,Cross,,,,,,,,,,,,,,,,,,
L05_28,Music Note,,,,,,,,,,,,,,,,,,
L05_29,Alarm Clock,,,,,,,,,,,,,,,,,,
L05_30,Perfume Bottle,,,,,,,,,,,,,,,,,,
L05_31,Sword,,,,,,,,,,,,,,,,,,
L05_32,Butterfly,,,,,,,,,,,,,,,,,,
