id,Name
L06_01,Bat
L06_02,Spanner
L06_03,Canvas Shoe
L06_04,Iron
L06_05,Tree
L06_06,Moon And Sun
L06_07,Spider
L06_08,Alarm Clock
L06_09,Bell
L06_10,Helmet
L06_11,Tortoise
L06_13,Golf Bag
L06_14,Knife
L06_15,Crow
L06_16,Boomerang
L06_17,Gramophone
L06_18,Scorpion
L06_19,Animal Skull
L06_20,Mushrooms
L06_21,Hook
L06_22,Lock
L06_23,Fan
L06_24,Hand Saw
L06_25,Beetle
L06_26,Broken Bulb
L06_27,Pocket Watch
L06_28,Arrow
L06_29,Mask
L06_30,Toilet Scroll
L06_31,Hand
L06_32,Magnifying Glass
