id,Name
L01_01,Clock
L01_02,Stick Notes
L01_03,Surgical Knife
L01_04,Spider
L01_05,Bio-Hazard
L01_06,Screw Driver
L01_07,Gloves
L01_08,Fire Extinguisher
L01_09,Surgical Tray
L01_10,Handcuffs
L01_12,Newspaper
L01_13,Severed Hand
L01_14,Knife
L01_15,Bottle
L01_16,Skull
L01_18,Gas Mask
L01_19,Tweezers
L01_20,Scissors
L01_21,Beakers
L01_22,Skull Prints
L01_23,Magnifying Glass
L01_24,Torch Light
L01_25,Stethoscope
L01_26,Rat
L01_27,Goggles
L01_28,Thermometer
L01_31,Bat
L01_32,Camera
