id,Name
L09_01,Scissors
L09_02,Oil Lamp
L09_03,Magnifying Glass
L09_04,Beaker
L09_05,Scale
L09_06,Fire Hydrant
L09_07,First Aid
L09_08,Gas Mask
L09_09,Camera
L09_10,Brain
L09_11,Severed Leg
L09_12,Skull
L09_13,Screw Driver
L09_14,Switch
L09_17,Knife
L09_18,Handcuffs
L09_19,Wrench
L09_20,Thermometer
L09_21,Lock
L09_22,Clothes Pin
L09_23,Lighter
L09_24,Mace
L09_25,Tape
L09_26,Stethoscope
L09_27,Spider
L09_28,Gloves
L09_29,Pliers
L09_30,Gear
L09_31,Drill
L09_32,Goggles
