id,Name
L08_01,Books
L08_02,Brush
L08_03,Tape
L08_04,Microscope
L08_05,Chain
L08_06,Foot Prints
L08_07,Cross
L08_08,Danger Sign
L08_09,Envelope
L08_10,Knife
L08_11,Trash can
L08_12,Torch Light
L08_13,Clock
L08_14,Wine Bottle
L08_15,X-Ray
L08_16,First Aid
L08_17,Test Tubes
L08_18,Screw Driver
L08_19,Rat Trap
L08_20,Measuring Tape
L08_21,Wall Socket
L08_22,Severed Hands
L08_23,Blood Pack
L08_24,Power Drill
L08_25,Hammer
L08_26,Lizard
L08_27,Bio-Hazard
L08_28,Tweezers
L08_29,Backpack
L08_30,Gas Mask
L08_31,Axe
L08_32,Bird Cage
