id,Name
L14_01,Sword
L14_02,Bat
L14_03,Musical Note
L14_04,Butterfly
L14_05,Crucifix
L14_06,Hook
L14_07,Lantern
L14_08,Feather
L14_09,Bag
L14_10,Hot Air Balloon
L14_11,Rope
L14_12,Bottle
L14_14,Worm
L14_15,Conch
L14_16,Banana
L14_17,Candlestick
L14_18,Pocket Watch
L14_19,Mantis
L14_20,Fork
L14_21,Football
L14_22,Arrow
L14_23,Binoculars
L14_24,Cage
L14_25,Baseball
L14_26,Gem
L14_27,Gecko
L14_28,Mushroom
L14_29,Whistle
L14_30,Magic Lamp
L14_31,Dragonfly
L14_32,Parrot
