id,Name
L14_01,Arrow
L14_02,Clock
L14_03,Candlestick
L14_04,Water Jug
L14_05,Fox
L14_06,Dove
L14_07,Chameleon
L14_08,Emerald Earring
L14_09,Roses
L14_10,Bow
L14_11,Comb
L14_12,Peacock
L14_13,Tortoise
L14_14,Sapphire
L14_15,Hat
L14_16,Angel
L14_17,Pearl
L14_18,Paper Crane
L14_19,Lantern
L14_20,Scissors
L14_21,Snail
L14_22,Lizard
L14_23,Map
L14_24,Cat
L14_25,Grapes
L14_26,Otter
L14_27,Potion Bottles
L14_28,Mantis
L14_29,Toucan
L14_30,Shovel
L14_31,Owl
L14_32,Bird Cage
