id,Name
L07_01,Plane
L07_02,Wheelbarrow
L07_03,Fire Extinguisher
L07_04,Mushrooms
L07_05,Baseball Bat
L07_06,Gnome
L07_07,Cat
L07_08,Cage
L07_09,Shovel
L07_10,Ladder
L07_11,Umbrella
L07_12,Chair
L07_13,Hanging Lamp
L07_14,Basket
L07_15,Fence
L07_16,Buckets
L07_18,Pick Axe
L07_19,Raccoon
L07_20,Hook
L07_21,Parrot
L07_22,Rabbits
L07_23,Butterfly
L07_24,Lizard
L07_25,Chicks
L07_26,Clock
L07_27,Watering Can
L07_28,Cowboy Hat
L07_29,Nail Puller
L07_30,Doves
L07_31,Boar Head
L07_32,Windmill
