Name-Android,Number,Name-IOS
Image_Flowers1,0,Picture_Flowers1
Image_Flowers2,0,Picture_Flowers2
Image_Flowers3,0,Picture_Flowers3
Image_Flowers4,0,Picture_Flowers4
Image_Flowers5,0,Picture_Flowers5
Image_Flowers6,0,Picture_Flowers6
Image_Flowers7,0,Picture_Flowers7
Image_Flowers8,0,Picture_Flowers8
Image_Flowers9,0,Picture_Flowers9
Image_Flowers10,0,Picture_Flowers10
Image_Animals1,0,Picture_Animals1
Image_Animals2,0,Picture_Animals2
Image_Animals3,0,Picture_Animals3
Image_Animals4,0,Picture_Animals4
Image_Animals5,0,Picture_Animals5
Image_Animals6,0,Picture_Animals6
Image_Animals7,0,Picture_Animals7
Image_Animals8,0,Picture_Animals8
Image_Animals9,0,Picture_Animals9
Image_Animals10,0,Picture_Animals10
Image_Ladies1,0,Picture_Ladies1
Image_Ladies2,0,Picture_Ladies2
Image_Ladies3,0,Picture_Ladies3
Image_Ladies4,0,Picture_Ladies4
Image_Ladies5,0,Picture_Ladies5
Image_Mandala1,0,Picture_Mandala1
Image_Mandala2,0,Picture_Mandala2
Image_Mandala3,0,Picture_Mandala3
Image_Mandala4,0,Picture_Mandala4
Image_Mandala5,0,Picture_Mandala5
Image_Mandala6,0,Picture_Mandala6
Image_Mandala7,0,Picture_Mandala7
Image_Mandala8,0,Picture_Mandala8
Image_Mandala9,0,Picture_Mandala9
Image_Mandala10,0,Picture_Mandala10
Image_Mysterious1,0,Picture_Mysterious1
Image_Mysterious2,0,Picture_Mysterious2
Image_Mysterious3,0,Picture_Mysterious3
Image_Mysterious4,0,Picture_Mysterious4
Image_Mysterious5,0,Picture_Mysterious5
Image_Ocean1,0,Picture_Ocean1
Image_Ocean2,0,Picture_Ocean2
Image_Ocean3,0,Picture_Ocean3
Image_Ocean4,0,Picture_Ocean4
Image_Ocean5,0,Picture_Ocean5
Pallete_Basic,0,Plate_Basic
Pallete_Sweet,0,Plate_Sweet
Pallete_Autumn,0,Plate_Autumn
Pallete_Neon,0,Plate_Neon
Pallete_Sea,0,Plate_Sea
Pallete_Ukiyoe,0,Plate_Ukiyoe
IAP_unlockflowerspack,0,Buy_unlockflowerspack
IAP_unlockanimalspack ,0,Buy_unlockanimalspack 
IAP_unlockladiespack,0,Buy_unlockladiespack
IAP_unlockmandalaspack,0,Buy_unlockmandalaspack
IAP_unlockpalettesea,0,Buy_unlockpalettesea
IAP_unlockpaletteneon,0,Buy_unlockpaletteneon
IAP_unlockpaletteukiyoe,0,Buy_unlockpaletteukiyoe
Share_Facebook,0,Sharing_Facebook
Share_Inatagram,0,Sharing_Inatagram
Share_Email,0,Sharing_Email
Share_Save,0,Sharing_Save
Edit_Frame001.png,0,Redact_Frame001.png
Edit_Frame002.png,0,Redact_Frame002.png
Edit_Frame003.png,0,Redact_Frame003.png
Edit_Frame004.png,0,Redact_Frame004.png
Edit_Frame005.png,0,Redact_Frame005.png
Edit_Frame006.png,0,Redact_Frame006.png
Edit_Frame007.png,0,Redact_Frame007.png
Edit_Frame008.png,0,Redact_Frame008.png
Edit_Frame009.png,0,Redact_Frame009.png
Edit_Frame010.png,0,Redact_Frame010.png
Edit_Frame011.png,0,Redact_Frame011.png
Edit_Frame012.png,0,Redact_Frame012.png
Edit_Frame013.png,0,Redact_Frame013.png
Edit_Frame014.png,0,Redact_Frame014.png
Edit_Frame015.png,0,Redact_Frame015.png
Edit_FilterLomo,0,Redact_FilterLomo
Edit_FilterCool,0,Redact_FilterCool
Edit_FilterVintage,0,Redact_FilterVintage
Edit_FilterDream,0,Redact_FilterDream
Edit_FilterMottled,0,Redact_FilterMottled
Edit_FilterClaret,0,Redact_FilterClaret
Edit_FilterCyan,0,Redact_FilterCyan
Edit_FilterGothic,0,Redact_FilterGothic
Edit_FilterRomance,0,Redact_FilterRomance
Edit_FilterElegant,0,Redact_FilterElegant
