id,Name
L10_01,Swim Ring
L10_02,Woodpecker
L10_03,Telescope
L10_04,Bananas
L10_05,Envelope
L10_06,Feather
L10_07,Pocketwatch
L10_08,Cat
L10_09,Axe
L10_10,Hat
L10_11,Hanger
L10_12,Dove
L10_13,Bat
L10_14,Magnifying Glass
L10_15,Lizard
L10_16,Anchor
L10_17,Dragonfly
L10_18,Fork
L10_19,Scroll
L10_20,Music Note
L10_21,Banana Peel
L10_22,Conch
L10_23,Gecko
L10_24,Necklace
L10_25,Chess Piece
L10_26,Snail
L10_27,Tag
L10_28,Mushroom
L10_29,Arrow
L10_30,Crucifix
L10_31,Frog
L10_32,Butterfly
