id,Name
L16_01,Clover
L16_02,Dove
L16_03,Butterfly
L16_04,Dart
L16_05,Guitar
L16_06,Umbrella
L16_07,Box
L16_08,Heels
L16_09,Backpack
L16_10,Sunglasses
L16_11,Ice Cubes
L16_12,Cap
L16_13,Golf Ball
L16_14,Fencing Mask
L16_15,Table Tennis
L16_16,Champagne
L16_17,Scarf
L16_18,Soap
L16_19,Fire Extinguisher
L16_21,Weight
L16_22,Boxing Glove
L16_23,Shoe
L16_24,Yoga Mat
L16_25,Baseball Bat
L16_26,Stopwatch
L16_27,Laptop
L16_28,Skipping Rope
L16_29,Lime
L16_30,Towels
L16_31,Tennis Balls
L16_32,Cup
