id,Name
L09_01,Clock
L09_02,Stick Notes
L09_03,Surgical Knife
L09_04,Spider
L09_05,Bio-Hazard
L09_06,Screw Driver
L09_07,Gloves
L09_08,Fire Extinguisher
L09_09,Surgical Tray
L09_10,Handcuffs
L09_12,Newspaper
L09_13,Severed Hand
L09_14,Knife
L09_15,Bottle
L09_16,Skull
L09_18,Gas Mask
L09_19,Tweezers
L09_20,Scissors
L09_21,Beakers
L09_22,Skull Prints
L09_23,Magnifying Glass
L09_24,Torch Light
L09_25,Stethoscope
L09_26,Rat
L09_27,Goggles
L09_28,Thermometer
L09_31,Bat
L09_32,Camera
