id,Name
L01_01,Telephone
L01_02,Oxygen Tank
L01_03,Music Note
L01_04,Tire
L01_05,Airplane
L01_06,Helicopter
L01_07,Eagle
L01_08,Hot Air Balloon
L01_09,Submarine
L01_10,Crow
L01_11,Anchor
L01_12,Bank Note
L01_13,Life Buoy
L01_14,Juice
L01_15,Turtle
L01_16,Mask
L01_17,Cup
L01_18,Paper Boat
L01_19,Gramophone
L01_20,Wallet
L01_21,Candle
L01_22,Ribbon
L01_23,Whistle
L01_24,Chameleon
L01_25,Scorpion
L01_26,Playing Cards
L01_27,Dice
L01_28,Lip Stick
L01_29,Goggles
L01_30,Rat
L01_31,Chips
