id,Name
L02_01,Submarine
L02_02,Airplane
L02_03,Rabbit
L02_04,Stop Sign
L02_05,Slippers
L02_06,Lime
L02_07,Scarf
L02_08,Champagne
L02_09,Yoga Mat
L02_10,Tomatoes
L02_11,Fan
L02_12,Towels
L02_13,Girl
L02_15,Facial Cleanser
L02_16,Surf Board
L02_17,Juice
L02_18,Grapes
L02_19,Shark
L02_20,Ball
L02_21,Hat
L02_22,Life Buoy
L02_23,Flowers & Apples
L02_24,Ship's Wheel
L02_25,Atv
L02_26,Sunglasses
L02_27,Music Note
L02_28,Paddle
L02_29,Statue
L02_30,First Aid Kit
L02_31,Pineapple
L02_32,Ship
